cell,patient,predict
DCs,SUB118156,24.30214882
DCs,SUB118157,44.99341249
DCs,SUB118158,25.37650061
DCs,SUB118161,39.63898134
DCs,SUB118164,26.83523369
DCs,SUB118167,23.46500683
DCs,SUB118168,51.76284695
DCs,SUB118169,40.95889187
DCs,SUB118170,22.35185385
DCs,SUB118171,154.2689857
DCs,SUB118174,84.75241184
DCs,SUB118176,86.45308685
DCs,SUB118183,79.67264557
Activated CD4+ T cells,SUB118148,44.86332178
Activated CD4+ T cells,SUB118151,218.0735474
Activated CD4+ T cells,SUB118153,58.19107151
Activated CD4+ T cells,SUB118155,81.85007763
Activated CD4+ T cells,SUB118156,62.98467255
Activated CD4+ T cells,SUB118157,161.8527489
Activated CD4+ T cells,SUB118158,141.6382427
Activated CD4+ T cells,SUB118161,101.6317816
Activated CD4+ T cells,SUB118164,49.64334154
Activated CD4+ T cells,SUB118167,108.6205845
Activated CD4+ T cells,SUB118168,299.8475609
Activated CD4+ T cells,SUB118169,235.9939156
Activated CD4+ T cells,SUB118170,397.9521866
Activated CD4+ T cells,SUB118171,735.7915802
Activated CD4+ T cells,SUB118174,160.1087337
Activated CD4+ T cells,SUB118176,203.9439545
Activated CD4+ T cells,SUB118183,300.77248
Activated CD8+ T cells,SUB118148,27.19683886
Activated CD8+ T cells,SUB118151,52.78209114
Activated CD8+ T cells,SUB118153,36.64188266
Activated CD8+ T cells,SUB118155,19.05544519
Activated CD8+ T cells,SUB118156,18.8667407
Activated CD8+ T cells,SUB118157,131.3710918
Activated CD8+ T cells,SUB118158,83.1398859
Activated CD8+ T cells,SUB118161,39.02801442
Activated CD8+ T cells,SUB118164,44.02853155
Activated CD8+ T cells,SUB118167,51.47113752
Activated CD8+ T cells,SUB118168,210.2606602
Activated CD8+ T cells,SUB118169,122.2030087
Activated CD8+ T cells,SUB118170,118.4947701
Activated CD8+ T cells,SUB118171,312.7318687
Activated CD8+ T cells,SUB118174,138.3866711
Activated CD8+ T cells,SUB118176,84.66969299
Activated CD8+ T cells,SUB118183,135.4403172
CD4+ Tem,SUB118148,123.8942947
CD4+ Tem,SUB118151,256.4845734
CD4+ Tem,SUB118153,185.3559151
CD4+ Tem,SUB118155,122.4792891
CD4+ Tem,SUB118156,184.8591499
CD4+ Tem,SUB118157,219.8411827
CD4+ Tem,SUB118158,233.9762306
CD4+ Tem,SUB118161,233.2288532
CD4+ Tem,SUB118164,237.9508591
CD4+ Tem,SUB118167,184.272934
CD4+ Tem,SUB118168,251.8958015
CD4+ Tem,SUB118169,271.4387894
CD4+ Tem,SUB118170,340.888176
CD4+ Tem,SUB118171,641.1871643
CD4+ Tem,SUB118174,268.7599964
CD4+ Tem,SUB118176,233.0514221
CD4+ Tem,SUB118183,279.4421272
CD8+ Tem,SUB118148,91.97390366
CD8+ Tem,SUB118151,93.55606842
CD8+ Tem,SUB118153,145.7928581
