"","ES740463","ES740496","ES740562","ES740637","ES740640","ES740691","ES740706","ES740712","ES740724","ES740772","ES740790","ES740871"
"AARS2",13.3277520224844,16.8881787276402,15.79478189682,16.8168019099537,16.2284196758652,13.3476246943765,19.2490651244915,10.5154524426311,15.6693781815573,16.057767620384,28.2137459108505,16.0438177108475
"AARSD1",17.521882910982,21.5547182966824,17.8963427726085,16.3977362458771,17.3219587762518,20.7388665668762,18.7059470350573,13.8655951899287,19.5125643211435,16.0137412428843,28.0667342537156,20.5925778839129
"AASDH",12.3775221458936,14.4270478405118,10.7967074214356,12.6644297441858,10.8937070663732,11.2473835792858,16.3883513265329,9.60042738432201,14.7460649069607,9.28692956810881,17.015442102579,13.196930168824
"AASDHPPT",24.3787297356612,30.1618699620809,18.2151433727334,16.6178405375134,18.6405637493924,18.8058326926335,23.564985306477,15.8096543990019,27.6856394428987,16.288914407709,19.7918533449014,27.2532943185011
"AASS",1.5467908923818,2.26911598430938,2.13245213801186,2.01853569124255,4.42870964456622,1.72808689963373,2.48749809431387,1.44540596035956,1.82006584515773,2.43462920760312,9.80887275589201,1.90310456501161
"AATF",89.2125807952563,90.0578299650616,83.8729079013078,80.4519241834829,69.6123012762172,84.7576376377265,87.129927976742,65.9504280735018,84.9883888162727,76.7924486034796,85.7585752766617,77.1999396577094
"AATK",2.24697995283868,1.56718919570232,5.23723567952217,3.18328586316018,1.74825313004442,2.19479328040092,1.69971566722579,6.40993721632929,2.84003096648261,3.00203407509434,1.94993635414338,3.82782684963246
"ABAT",11.1626621821856,7.72019876190423,12.0986830458648,6.94035151770947,7.57242975327784,5.92812267021475,6.04518289687635,8.73761519288292,9.62233743203333,8.88173425706654,7.72443005338805,8.91608309416168
"ABCA1",11.256383594953,1.82555541962024,17.0105036822334,11.2342471776537,14.5875556455156,3.66874124363105,4.651036255463,8.57380716184717,11.8129107405029,9.37412295352943,11.7519251718578,7.27705039855386
"ABCA10",0.151406269149496,0.174539014581486,0.242980450861559,0.482569093219134,0.352236026952331,0.134937378805067,0.238220145152307,0.139639457443422,0.150699297487303,0.259452083684622,0.556378901084546,0.254357114116769
"ABCA11P",4.36353048580448,7.13883577884972,4.6359334647953,6.12787870374652,5.12325289101206,6.59788721060766,6.5255977754606,4.29373641557706,6.12196459155478,4.8928850246206,11.3460184835449,6.77947236526975
"ABCA12",0.0044122102912472,0.011737693568333,0.00442551376788061,0.016020913179778,0.0144347296579257,0,0.00484332518953739,0.00841925668609686,0.00399237095958793,0,0.00534518646526884,0.00753798854125673
"ABCA13",0.0489236054668997,0.0177477618819323,0.107064256329825,0.0699808045796422,0.029101020378778,0.107480567469018,0.0244108667744233,0.0594075110312919,0.0362195428203727,0.425278349658379,0.0323283602686834,0.0645868294210179
"ABCA17P",0.0838830037451563,0.0858276437222034,0.0323599706148496,0.0468588558899865,0.0492560813568138,0.072989371635478,0.0920791707999335,0.0184688318634321,0.0408698784360128,0.0663430107505094,0.0938033879107295,0.0716544633300387
"ABCA2",29.9738251130921,66.729979352162,34.7636963417162,51.2167566357845,66.0169494531956,44.0532574846829,68.3139708333789,24.1132955069352,37.4853802214969,27.5093118841296,41.6217922438969,36.2760474296775
"ABCA3",7.15861218447547,13.3683109848185,7.04389813670044,9.65781595197531,10.894812588917,10.6649236100736,10.2387695908145,5.74087687689708,8.08573601263536,7.0249444324837,11.9318534457836,7.93513641191136
"ABCA4",0.014889080287838,0.0198045254415502,0.00995598206725266,0.00600698332008835,0,0.0102073482270575,0,0.00473515466129257,0.00449077505621602,0.00510283084911488,0.00601247486569494,0.00847902443379457
