cell,SUBJECT_ACCESSION,value
CD8+ T cell,SUB122733,7941.327541
cell,SUB122733,26299.59914
helper T cell,SUB122733,1629.26501
monocyte,SUB122733,1670.850006
myeloid dendritic cell,SUB122733,289.8948802
NK cell,SUB122733,1310.123323
non-Th1/Th17  CD4+ T cell,SUB122733,465.4460003
plasmacytoid dendritic cell,SUB122733,87.92255843
T cell,SUB122733,10232.5
T follicular helper cell,SUB122733,958.6246289
Th1 CD4+ T cell,SUB122733,663.9626911
Th17 CD4+ T cell,SUB122733,471.4764117
CD4+ T cell,SUB122734,6057.676607
CD8+ T cell,SUB122734,4200.811879
cell,SUB122734,21889.93603
helper T cell,SUB122734,3689.70308
monocyte,SUB122734,1923.48999
myeloid dendritic cell,SUB122734,204.6687894
NK cell,SUB122734,3428.619166
non-Th1/Th17  CD4+ T cell,SUB122734,1336.881036
plasmacytoid dendritic cell,SUB122734,104.8126788
T cell,SUB122734,8173.799805
T follicular helper cell,SUB122734,1515.177786
Th1 CD4+ T cell,SUB122734,1101.301286
Th17 CD4+ T cell,SUB122734,909.2246211
CD4+ T cell,SUB122735,3388.732596
CD8+ T cell,SUB122735,2044.913698
cell,SUB122735,13101.33537
helper T cell,SUB122735,2523.37513
monocyte,SUB122735,2848.28006
myeloid dendritic cell,SUB122735,219.0130095
NK cell,SUB122735,3126.27028
non-Th1/Th17  CD4+ T cell,SUB122735,365.6361787
plasmacytoid dendritic cell,SUB122735,161.841253
T cell,SUB122735,4128.500061
T follicular helper cell,SUB122735,894.9070662
Th1 CD4+ T cell,SUB122735,1100.196303
Th17 CD4+ T cell,SUB122735,544.6536833
CD4+ T cell,SUB122737,9058.279837
CD8+ T cell,SUB122737,7233.960124
cell,SUB122737,43306.24054
helper T cell,SUB122737,4857.303419
monocyte,SUB122737,2011.130005
myeloid dendritic cell,SUB122737,387.7754979
NK cell,SUB122737,3889.384377
non-Th1/Th17  CD4+ T cell,SUB122737,999.5584097
plasmacytoid dendritic cell,SUB122737,108.5014799
T cell,SUB122737,12796.59985
T follicular helper cell,SUB122737,2557.07983
Th1 CD4+ T cell,SUB122737,1374.712215
Th17 CD4+ T cell,SUB122737,1647.427455
CD4+ T cell,SUB122739,5447.404099
CD8+ T cell,SUB122739,4213.596353
cell,SUB122739,20300.26605
helper T cell,SUB122739,3079.544423
monocyte,SUB122739,2019.910034
myeloid dendritic cell,SUB122739,130.7741983
NK cell,SUB122739,1778.837695
non-Th1/Th17  CD4+ T cell,SUB122739,937.4387246
plasmacytoid dendritic cell,SUB122739,96.4037904
T cell,SUB122739,7813.900024
T follicular helper cell,SUB122739,878.175457
Th1 CD4+ T cell,SUB122739,738.5806983
Th17 CD4+ T cell,SUB122739,993.5339129
CD4+ T cell,SUB122740,5863.693386
CD8+ T cell,SUB122740,4115.176672
cell,SUB122740,19293.51372
helper T cell,SUB122740,3198.128958
monocyte,SUB122740,1891.980011
myeloid dendritic cell,SUB122740,225.1649939
NK cell,SUB122740,912.9007807
non-Th1/Th17  CD4+ T cell,SUB122740,493.9305123
plasmacytoid dendritic cell,SUB122740,66.34286451
T cell,SUB122740,7986.699951
T follicular helper cell,SUB122740,934.7541299
Th1 CD4+ T cell,SUB122740,590.1732307
Th17 CD4+ T cell,SUB122740,688.8894731
CD4+ T cell,SUB122742,2858.708033
CD8+ T cell,SUB122742,3517.706714
cell,SUB122742,13465.76967
helper T cell,SUB122742,1767.30687
monocyte,SUB122742,2072.040009
myeloid dendritic cell,SUB122742,194.1627497
NK cell,SUB122742,1994.884318
non-Th1/Th17  CD4+ T cell,SUB122742,293.2943725
plasmacytoid dendritic cell,SUB122742,49.95116322
T cell,SUB122742,4508.700073
T follicular helper cell,SUB122742,628.0671011
Th1 CD4+ T cell,SUB122742,280.924352
Th17 CD4+ T cell,SUB122742,713.6823151
CD4+ T cell,SUB122743,3602.862224
CD8+ T cell,SUB122743,2130.068068
cell,SUB122743,12124.90506
helper T cell,SUB122743,2122.086928
monocyte,SUB122743,1387.399979
myeloid dendritic cell,SUB122743,293.8766125
NK cell,SUB122743,2895.793126
non-Th1/Th17  CD4+ T cell,SUB122743,620.0130586
plasmacytoid dendritic cell,SUB122743,156.1012437
T cell,SUB122743,4715.799988
T follicular helper cell,SUB122743,645.747103
Th1 CD4+ T cell,SUB122743,663.7290517
Th17 CD4+ T cell,SUB122743,472.4239018
CD4+ T cell,SUB122744,5848.962229
CD8+ T cell,SUB122744,4819.394839
cell,SUB122744,24925.91486
helper T cell,SUB122744,4563.68606
monocyte,SUB122744,2650.339966
myeloid dendritic cell,SUB122744,602.6012204
NK cell,SUB122744,1235.321469
non-Th1/Th17  CD4+ T cell,SUB122744,543.414648
plasmacytoid dendritic cell,SUB122744,191.3080014
T cell,SUB122744,8793.699951
T follicular helper cell,SUB122744,742.5288415
Th1 CD4+ T cell,SUB122744,827.9729072
Th17 CD4+ T cell,SUB122744,575.486764
CD4+ T cell,SUB122747,4462.300362
CD8+ T cell,SUB122747,2301.294728
cell,SUB122747,15099.26091
helper T cell,SUB122747,2721.00714
monocyte,SUB122747,2395.170013
myeloid dendritic cell,SUB122747,192.6823712
NK cell,SUB122747,1924.983541
non-Th1/Th17  CD4+ T cell,SUB122747,467.735543
plasmacytoid dendritic cell,SUB122747,164.5011278
T cell,SUB122747,5544.399963
T follicular helper cell,SUB122747,877.6068058
Th1 CD4+ T cell,SUB122747,623.8048854
Th17 CD4+ T cell,SUB122747,964.2257687
CD4+ T cell,SUB122748,8038.65116
CD8+ T cell,SUB122748,4933.378023
cell,SUB122748,30055.65631
helper T cell,SUB122748,4801.766453
monocyte,SUB122748,2767.390015
myeloid dendritic cell,SUB122748,426.5864064
NK cell,SUB122748,3480.365274
non-Th1/Th17  CD4+ T cell,SUB122748,976.2335356
plasmacytoid dendritic cell,SUB122748,124.6670312
T cell,SUB122748,10978.59998
T follicular helper cell,SUB122748,1226.647699
Th1 CD4+ T cell,SUB122748,1629.884142
Th17 CD4+ T cell,SUB122748,970.0980128
CD4+ T cell,SUB122749,4659.785161
CD8+ T cell,SUB122749,4430.657126
cell,SUB122749,20402.12112
helper T cell,SUB122749,2307.258681
monocyte,SUB122749,2592.310028
myeloid dendritic cell,SUB122749,321.8294062
NK cell,SUB122749,1312.024412
non-Th1/Th17  CD4+ T cell,SUB122749,642.025117
plasmacytoid dendritic cell,SUB122749,160.6234253
T cell,SUB122749,7417.400146
T follicular helper cell,SUB122749,577.0659644
Th1 CD4+ T cell,SUB122749,762.8388573
Th17 CD4+ T cell,SUB122749,642.4560657
CD4+ T cell,SUB122750,2952.482653
CD8+ T cell,SUB122750,1825.990918
cell,SUB122750,11941.6144
